"Table 2.9 Head Count Enrollment by Race or Ethnic Group, Degree, and Gender",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21
All Member Schools,,,,,,,,,,,,,,,,,,,,,
Racial/Ethnic Category,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,
,Degree Program,M,F,O/U,Total,M,F,O/U,Total,M,F,O/U,Total,M,F,O/U,Total,M,F,O/U,Total
Not Available,,,,,,,,,,,,,,,,,,,,,
,MDiv,2036,1000,0,3036,2016,1050,0,3066,1861,939,86,2886,1868,816,167,2851,2154,830,372,3356
,MA,1782,1578,0,3360,1725,1636,0,3361,1743,1792,67,3602,1817,1742,125,3684,2363,2126,195,4684
,ThM / STM,210,42,0,252,165,30,0,195,198,45,5,248,149,43,7,199,219,61,22,302
,DMin and Other Dr,931,232,0,1163,854,265,0,1119,986,319,5,1310,970,325,37,1332,1338,406,65,1809
,PhD / ThD,345,122,0,467,214,55,0,269,200,50,1,251,225,45,2,272,507,166,16,689
,Non-Degrees,572,340,0,912,518,405,0,923,555,415,75,1045,480,362,55,897,628,475,115,1218
,Subtotal,5876,3314,0,9190,5492,3441,0,8933,5543,3560,239,9342,5509,3333,393,9235,7209,4064,785,12058
Visa,,,,,,,,,,,,,,,,,,,,,
,MDiv,1800,436,0,2236,1870,480,0,2350,1747,436,5,2188,1766,467,36,2269,0,0,0,0
,MA,1112,843,0,1955,1248,933,0,2181,1059,811,22,1892,1260,839,35,2134,0,0,0,0
,ThM / STM,240,46,0,286,210,39,0,249,194,40,6,240,221,48,5,274,0,0,0,0
,DMin and Other Dr,1131,218,0,1349,1068,225,0,1293,930,202,0,1132,1079,232,5,1316,0,0,0,0
,PhD / ThD,608,182,0,790,647,220,0,867,609,202,4,815,620,223,5,848,0,0,0,0
,Non-Degrees,227,134,0,361,210,120,0,330,184,73,4,261,193,65,5,263,0,0,0,0
,Subtotal,5118,1859,0,6977,5253,2017,0,7270,4723,1764,41,6528,5139,1874,91,7104,,,0,
Total,,,,,,,,,,,,,,,,,,,,,
,MDiv,21544,9259,0,30803,21156,9299,0,30455,19962,8867,271,29100,19208,8075,426,27709,18253,7332,558,26143
,MA,14311,12028,0,26339,14605,12662,0,27267,14615,12828,147,27590,14638,12717,441,27796,14868,12877,280,28025
,ThM / STM,1051,191,0,1242,1052,198,0,1250,1091,222,20,1333,1072,225,18,1315,1039,225,24,1288
,DMin and Other Dr,7695,2422,0,10117,7674,2658,0,10332,8212,3006,17,11235,8465,3167,70,11702,8077,3141,89,11307
,PhD / ThD,3180,940,0,4120,3024,915,0,3939,3054,953,10,4017,3134,963,16,4113,3191,976,32,4199
,Non-Degrees,2705,1717,0,4422,2664,1684,0,4348,2736,1918,92,4746,2800,1813,81,4694,2930,2140,134,5204
Total,,50486,26557,0,77043,50175,27416,0,77591,49670,27794,557,78021,49317,26960,1052,77329,48358,26691,1117,76166
"O/U includes those reported as Unknown and All Other, see the appendix for further definition.",,,,,,,,,,,,,,,,,,,,,
