Code,Church/Denomination
UKOCUSA,Ukrainian Orthodox Church of the USA
UNEBFC,Union d'Eglises Baptistes Francaises au Canada
UUA,Unitarian Universalist
UCCAN,United Church of Canada
UCC,United Church of Christ
UMC,United Methodist Church
UPENTCI,United Pentecostal Church International
VENCHNET,Venture Church Network
WESLCH,Wesleyan Church
WIEVLS,Wisconsin Evangelical Lutheran Synod
