report_year,Year,Central-East,MidAmerica,New England,Pacific Western,Southern
2024,2014,71784991,38027973,52052824,46955322,36828384
2024,2015,72497217,38290643,52115261,48880262,37509112
2024,2016,72465446,38895420,52735071,48186620,36842915
2024,2017,55707724,39123685,51726597,48779825,37643440
2024,2018,50679515,37049977,48535548,47461299,37145249
2024,2019,53684808,38235607,49916886,49073810,38628779
2024,2020,53549314,39291813,49895961,49471573,39328811
2024,2021,56022322,37817123,52880868,50000125,39264871
2024,2022,53484421,37344534,47931149,46555373,38381523
2024,2023,58786759,39683134,51768064,49420489,42979096
2024,2024,60219117,41037127,56867497,51113734,43933815
